Kingdom,Phylum,Class,Order,Family,Genus,Species,Taxon,Taxon rank,Scientific name and authority,GBIF URL,Division,Growth form,Origin,Endemism,Conservation Status
Chromista,Ochrophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthidium,biasolettianum,Achnanthidium biasolettianum,Species,Achnanthidium biasolettianum (Grunow) Lange-Bert.,https://www.gbif.org/species/8132120,Bacillariophyta,Single cells,Unknown,Unknown,Unknown
Chromista,Ochrophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthidium,catenatum,Achnanthidium catenatum,Species,"Achnanthidium catenatum (Bily & Marvan) Lange-Bertalot, 1999",https://www.gbif.org/species/8058696,Bacillariophyta,Single cells,Unknown,Unknown,Unknown
Chromista,Ochrophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthidium,eutrophilum,Achnanthidium eutrophilum,Species,"Achnanthidium eutrophilum (Lange-Bertalot) Lange-Bertalot, 1999",https://www.gbif.org/species/8220090,Bacillariophyta,Single cells,Unknown,Unknown,Unknown
Chromista,Ochrophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,exiguum,Achnanthidium exiguum,Species,Achnanthidium exiguum (Grunow) Czarn.,https://www.gbif.org/species/7613737,Bacillariophyta,Single cells,Unknown,Unknown,Unknown
Chromista,Ochrophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,macrocephalum,Achnanthidium macrocephalum,Species,"Achnanthidium macrocephalum (Hustedt) Round & Bukhtiyarova, 1996",https://www.gbif.org/species/8110711,Bacillariophyta,Single cells,Unknown,Unknown,Unknown
Chromista,Ochrophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,minutissimum,Achnanthidium minutissimum,Species,Achnanthidium minutissimum (Kütz.) Czarn.,https://www.gbif.org/species/7485766,Bacillariophyta,Single cells,Unknown,Unknown,Unknown
Chromista,Ochrophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,oblongella,Achnanthidium oblongella,Species,,,Bacillariophyta,Single cells,Unknown,Unknown,Unknown
Chromista,Ochrophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,saprophilum,Achnanthidium saprophilum,Species,"Achnanthidium saprophilum (H.Kobayasi & S.Mayama) Round & L.Bukhtiyarova, 1996",https://www.gbif.org/species/7899324,Bacillariophyta,Single cells,Unknown,Unknown,Unknown
Chromista,Ochrophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthidium,straubianum,Achnanthidium straubianum,Species,"Achnanthidium straubianum (Lange-Bertalot) Lange-Bertalot, 1999",https://www.gbif.org/species/7513091,Bacillariophyta,Single cells,Unknown,Unknown,Unknown
Plantae,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Actinotaenium ,,Actinotaenium  ,Genus,"Actinotaenium (Nägeli) Teiling, 1954",https://www.gbif.org/species/2649739,Chlorophyta,Single cells,Unknown,Unknown,Unknown
Chromista,Ochrophyta,Bacillariophyceae,Naviculales,Naviculaceae,Adlafia ,,Adlafia  ,Genus,"Adlafia G.Moser, H.Lange-Bertalot & D.Metzeltin, 1998",https://www.gbif.org/species/7938439,Bacillariophyta,Single cells,Unknown,Unknown,Unknown
Chromista,Ochrophyta,Bacillariophyceae,Naviculales,Naviculaceae,Adlafia,bryophila,Adlafia bryophila,Species,"Adlafia bryophila (J.B.Petersen) Gerd Moser, Lange-Bert. & Metzeltin",https://www.gbif.org/species/7446770,Bacillariophyta,Single cells,Unknown,Unknown,Unknown
Bacteria,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Ammatoidea ,,Ammatoidea  ,Genus,"Ammatoidea West & G.S.West, 1897",https://www.gbif.org/species/3218433,Cyanophyta,Filamentous,Unknown,Unknown,Unknown
Chromista,Ochrophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,,Amphora,Genus,"Amphora C.G.Ehrenberg ex F.T.Kützing, 1844",https://www.gbif.org/species/2630972,Bacillariophyta,Single cells,Unknown,Unknown,Unknown
Chromista,Ochrophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,coffeaeformis,Amphora coffeaeformis,Species,Amphora coffeaeformis (C.Agardh) Kütz.,https://www.gbif.org/species/5267475,Bacillariophyta,Single cells,Unknown,Unknown,Unknown
Chromista,Ochrophyta,Bacillariophyceae,Naviculales,Amphipleuraceae,Amphora,copulata,Amphora copulata,Species,"Amphora copulata (Kützing) Schoeman & R.E.M.Archibald, 1986",https://www.gbif.org/species/7713991,Bacillariophyta,Single cells,Unknown,Unknown,Unknown
Chromista,Ochrophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,fontinalis,Amphora fontinalis,Species,"Amphora fontinalis Hustedt, 1937",https://www.gbif.org/species/7931914,Bacillariophyta,Single cells,Unknown,Unknown,Unknown
Chromista,Ochrophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,inariensis,Amphora inariensis,Species,Amphora inariensis Krammer,https://www.gbif.org/species/5267445,Bacillariophyta,Single cells,Unknown,Unknown,Unknown
Chromista,Ochrophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,montana,Amphora montana,Species,Amphora montana Krasske,https://www.gbif.org/species/5267551,Bacillariophyta,Single cells,Unknown,Unknown,Unknown
Chromista,Ochrophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora                                         ,normanii,Amphora normanii,Species,Amphora normanii Rabenh.,https://www.gbif.org/species/8373749,Bacillariophyta,Single cells,Unknown,Unknown,Unknown
Chromista,Ochrophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,ovalis,Amphora ovalis,Species,Amphora ovalis (Kütz.) Kütz.,https://www.gbif.org/species/5267404,Bacillariophyta,Single cells,Unknown,Unknown,Unknown
Chromista,Ochrophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,pediculus,Amphora pediculus,Species,Amphora pediculus (Kützing) Grunow,https://www.gbif.org/species/5267549,Bacillariophyta,Single cells,Unknown,Unknown,Unknown
Chromista,Ochrophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,strigosa,Amphora strigosa,Species,"Amphora strigosa Hustedt, 1949",https://www.gbif.org/species/7496862,Bacillariophyta,Single cells,Unknown,Unknown,Unknown
Chromista,Ochrophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,veneta,Amphora veneta,Species,Amphora veneta Kütz.,https://www.gbif.org/species/5267456,Bacillariophyta,Single cells,Unknown,Unknown,Unknown
Bacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena,,Anabaena ,Genus,"Anabaena Bory de Saint-Vincent ex Bornet & Flahault, 1886",https://www.gbif.org/species/8855997,Cyanophyta,Filamentous,Unknown,Unknown,Unknown
Bacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena,flos-aquae,Anabaena flos-aquae,Species,Anabaena flos-aquae Bréb. ex Bornet & Flahault,https://www.gbif.org/species/7438575,Cyanophyta,Filamentous,Unknown,Unknown,Unknown
Bacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena,granulata,Anabaena granulata,Species,,,Cyanophyta,Filamentous,Unknown,Unknown,Unknown
Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Selenastraceae,Ankistrodesmus,,Ankistrodesmus ,Genus,"Ankistrodesmus Corda, 1838",https://www.gbif.org/species/9516573,Chlorophyta,Colonial,Unknown,Unknown,Unknown
Plantae,Chlorophyta,Chlorophyceae,Chaetophorales,Chaetophoraceae,Apatococcus,,Apatococcus ,Genus,Apatococcus ,https://www.gbif.org/species/9486832,Chlorophyta,Filamentous,Unknown,Unknown,Unknown
Bacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,Aphanocapsa,,Aphanocapsa,Genus,"Aphanocapsa Nägeli, 1849",https://www.gbif.org/species/3217211,Cyanophyta,Colonial,Unknown,Unknown,Unknown
Bacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,Aphanothece,,Aphanothece ,Genus,"Aphanothece Nägeli, 1849",https://www.gbif.org/species/3216476,Cyanophyta,Colonial,Unknown,Unknown,Unknown
Chromista,Ochrophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Asterionella,,Asterionella ,Genus,"Asterionella A.H.Hassall, 1850",https://www.gbif.org/species/3192674,Bacillariophyta,Single cells,Unknown,Unknown,Unknown
Chromista,Ochrophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Asterionella,formosa,Asterionella formosa,Species,Asterionella formosa Hass.,https://www.gbif.org/species/3192686,Bacillariophyta,Single cells,Unknown,Unknown,Unknown
Plantae,Rhodophyta,Florideophyceae,Nemaliales,Acrochaetiaceae,Audouinella,,Audouinella ,Genus,"Audouinella Bory de Saint-Vincent, 1823",https://www.gbif.org/species/7816564,Rhodophyta,Filamentous,Unknown,Unknown,Unknown
Chromista,Ochrophyta,Bacillariophyceae,Aulacoseirales,Aulacoseiraceae,Aulacoseira,  ,Aulacoseira   ,Genus,"Aulacoseira G.H.K.Thwaites, 1848",https://www.gbif.org/species/3191984,Bacillariophyta,Single cells/filamentous,Unknown,Unknown,Unknown
Chromista,Ochrophyta,Bacillariophyceae,Aulacoseirales,Aulacoseiraceae,Aulacoseira,granulata var. angustissima,Aulacoseira granulata var. angustissima,Species,Aulacoseira granulata var. angustissima (O.Müll.) Simonsen,https://www.gbif.org/species/3194060,Bacillariophyta,Single cells/filamentous,Unknown,Unknown,Unknown
Chromista,Ochrophyta,Bacillariophyceae,Aulacoseirales,Aulacoseiraceae,Aulacoseira,granulata,Aulacoseira granulata,Species,Aulacoseira granulata (Ehrenb.) Simonsen,https://www.gbif.org/species/3194062,Bacillariophyta,Single cells/filamentous,Unknown,Unknown,Unknown
Chromista,Ochrophyta,Bacillariophyceae,Aulacosirales,Aulacosiraceae,Aulacoseira,subartica f. subborealis,Aulacoseira subartica f. subborealis,Species,,,Bacillariophyta,Single cells/filamentous,Unknown,Unknown,Unknown
Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Bacillaria,paradoxa,Bacillaria paradoxa,Species,Bacillaria paradoxa Gmelin,https://www.gbif.org/species/8428970,Bacillariophyta,Unknown,Unknown,Unknown,Unknown
Plantae,Rhodophyta,Florideophyceae,Batrachospermales,Batrachospermaceae,Batrachospermum,  ,Batrachospermum   ,Genus,"Batrachospermum Roth, 1797",https://www.gbif.org/species/9618465,Rhodophyta,Filamentous,Unknown,Unknown,Unknown
Chromista,Ochrophyta,Bacillariophyceae,Naviculales,Brachysiraceae,Brachysira,,Brachysira ,Genus,"Brachysira F.T.Kützing, 1836",https://www.gbif.org/species/2636501,Bacillariophyta,Single cells,Unknown,Unknown,Unknown
Chromista,Ochrophyta,Bacillariophyceae,Naviculales,Brachysiraceae,Brachysira,brebissonii,Brachysira brebissonii,Species,Brachysira brebissonii R.Ross,https://www.gbif.org/species/8035145,Bacillariophyta,Single cells,Unknown,Unknown,Unknown
Chromista,Ochrophyta,Bacillariophyceae,Naviculales,Brachysiraceae,Brachysira ,neoexillis,Brachysira neoxilis,Species,Brachysira neoxilis Lange-Bert. & Moser,https://www.gbif.org/species/7760448,Bacillariophyta,Single cells,Unknown,Unknown,Unknown
Chromista,Ochrophyta,Bacillariophyceae,Naviculales,Brachysiraceae,Brachysira,wygaschii,Brachysira wygaschii,Species,"Brachysira wygaschii Lange-Bertalot, 1994",https://www.gbif.org/species/7659950,Bacillariophyta,Single cells,Unknown,Unknown,Unknown
Chromista,Ochrophyta,Bacillariophyceae,Naviculales,Brachysiraceae,Brachysira,zellensis,Brachysira zellensis,Species,Brachysira zellensis (Grunow) Round & D.G.Mann,https://www.gbif.org/species/7750604,Bacillariophyta,Single cells,Unknown,Unknown,Unknown
Plantae,Chlorophyta,Chlorophyceae,Oedogoniales,Oedogoniaceae,Bulbochaete,,Bulbochaete ,Genus,"Bulbochaete C.Agardh, 1817",https://www.gbif.org/species/2640306,Chlorophyta,Filamentous,Unknown,Unknown,Unknown
Chromista,Ochrophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Caloneis,,Caloneis,Genus,"Caloneis P.T.Cleve, 1894",https://www.gbif.org/species/7420168,Bacillariophyta,Single cells,Unknown,Unknown,Unknown
Chromista,Ochrophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Caloneis,bacillum,Caloneis bacillum,Species,Caloneis bacillum (Grunow) Cleve,https://www.gbif.org/species/8305755,Bacillariophyta,Single cells,Unknown,Unknown,Unknown
Chromista,Ochrophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Caloneis,molaris,Caloneis molaris,Species,Caloneis molaris (Grunow) Krammer,https://www.gbif.org/species/2634727,Bacillariophyta,Unknown,Unknown,Unknown,Unknown
Bacteria,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Calothrix ,,Calothrix  ,Genus,"Calothrix C.Agardh ex Bornet & Flahault, 1886",https://www.gbif.org/species/8405379,Cyanophyta,Filamentous,Unknown,Unknown,Unknown
Bacteria,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Calothrix ,inserta,Calothrix inserta,Species,,,Cyanophyta,Filamentous,Unknown,Unknown,Unknown
Chromista,Ochrophyta,Bacillariophyceae,Naviculales,Naviculaceae,Capartogramma,  ,Capartogramma,Genus,"Capartogramma H.Kufferath, 1956",https://www.gbif.org/species/7748336,Bacillariophyta,Unknown,Unknown,Unknown,Unknown
Chromista,Ochrophyta,Bacillariophyceae,Naviculales,Naviculaceae,Capartogramma,crucicula,Capartogramma crucicula,Species,Capartogramma crucicula (Grunow) R.Ross,https://www.gbif.org/species/8651595,Bacillariophyta,Unknown,Unknown,Unknown,Unknown
Plantae,Charophyta,Mesostigmatophyceae,Chaetosphaeridiales,Chaetosphaeridiaceae,Chaetosphaeridium,,Chaetosphaeridium ,Genus,"Chaetosphaeridium Klebahn, 1892",https://www.gbif.org/species/9624415,Chlorophyta,Single cells,Unknown,Unknown,Unknown
Bacteria,Cyanobacteria,Cyanophyceae,Chamaesiphonales,Chamaesiphonaceae,Chamaesiphon ,,Chamaesiphon,Genus,"Chamaesiphon A.Braun, 1864",https://www.gbif.org/species/3217416,Cyanophyta,Single cells,Unknown,Unknown,Unknown
Chromista,Ochrophyta,Xanthophyceae,Mischococcales,Characiopsidaceae,Characiopsis,,Characiopsis ,Genus,"Characiopsis Borzì, 1895",https://www.gbif.org/species/3201218,Xanthophyta,Single cells,Unknown,Unknown,Unknown
Plantae,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Chlamydomonas,,Chlamydomonas ,Genus,"Chlamydomonas Ehrenberg, 1833",https://www.gbif.org/species/5271044,Chlorophyta,Single cells,Unknown,Unknown,Unknown
Plantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Chlorella,,Chlorella ,Genus,"Chlorella M.Beijerinck, 1890",https://www.gbif.org/species/2638467,Chlorophyta,Single cells,Unknown,Unknown,Unknown
Plantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Chlorella,saccinarophila,Chlorella saccinarophila,Species,,,Chlorophyta,Single cells,Unknown,Unknown,Unknown
Chromista,Ochrophyta,Eustigmatophyceae,Eustigmatales,Chlorobotryaceae,Chlorobotrys,,Chlorobotrys ,Genus,"Chlorobotrys Bohlin, 1901",https://www.gbif.org/species/3201208,Xanthophyta,Single cells,Unknown,Unknown,Unknown
Plantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlorococcaceae,Chlorococcum ,,Chlorococcum,Genus,"Chlorococcum Meneghini, 1842",https://www.gbif.org/species/5271881,Chlorophyta,Colonial,Unknown,Unknown,Unknown
,,,,,Chlorococcus,,Chlorococcus ,Genus,,,Chlorophyta,Colonial,Unknown,Unknown,Unknown
Plantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlorosarcinaceae,Chlorosarcina,,Chlorosarcina ,Genus,Chlorosarcina Gerneck,https://www.gbif.org/species/2640537,Chlorophyta,Colonial,Unknown,Unknown,Unknown
Bacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,Chroococcus,,Chroococcus ,Genus,"Chroococcus Nägeli, 1849",https://www.gbif.org/species/3216094,Cyanophyta,Gelatinous masses,Unknown,Unknown,Unknown
Bacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,Chroococcus,minutus,Chroococcus minutus,Species,Chroococcus minutus (Kuetzing) Naegeli,https://www.gbif.org/species/8143245,Cyanophyta,Gelatinous masses,Unknown,Unknown,Unknown
Plantae,Rhodophyta,Stylonematophyceae,Stylonematales,Stylonemataceae,Chroodactylon,ramosum,Chroodactylon ramosum,Species,Chroodactylon ramosum (Twaites) Hansgirg,https://www.gbif.org/species/2665918,Rhodophyta,Filamentous,Unknown,Unknown,Unknown
Plantae,Chlorophyta,Ulvophyceae,Cladophorales,Cladophoraceae,Cladophora ,glomerata,Cladophora glomerata,Species,Cladophora glomerata (Linnaeus) Kützing,https://www.gbif.org/species/5272770,Chlorophyta,Filamentous,Unknown,Unknown,Unknown
Plantae,Charophyta,Zygnematophyceae,Zygnematales,Closteriaceae,Closterium,,Closterium,Genus,"Closterium Nitzsch ex Ralfs, 1848",https://www.gbif.org/species/2646356,Chlorophyta,Single cells,Unknown,Unknown,Unknown
Plantae,Charophyta,Zygnematophyceae,Zygnematales,Closteriaceae,Closterium,abruptum,Closterium abruptum,Species,Closterium abruptum West,https://www.gbif.org/species/2646399,Chlorophyta,Single cells,Unknown,Unknown,Unknown
Plantae,Charophyta,Zygnematophyceae,Zygnematales,Closteriaceae,Closterium,lineatum,Closterium lineatum,Species,"Closterium lineatum Ehrenberg ex Ralfs, 1848",https://www.gbif.org/species/2646376,Chlorophyta,Single cells,Unknown,Unknown,Unknown
Chromista,Ochrophyta,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis,,Cocconeis ,Genus,"Cocconeis C.G.Ehrenberg, 1837",https://www.gbif.org/species/8383250,Bacillariophyta,Single cells,Unknown,Unknown,Unknown
Chromista,Ochrophyta,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis,engelbrechtii,Cocconeis engelbrechtii,Species,"Cocconeis engelbrechtii Cholnoky, 1955",https://www.gbif.org/species/7796685,Bacillariophyta,Single cells,Unknown,Unknown,Unknown
Chromista,Ochrophyta,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis,pediculus,Cocconeis pediculus,Species,Cocconeis pediculus Ehrenb.,https://www.gbif.org/species/7883252,Bacillariophyta,Single cells,Unknown,Unknown,Unknown
Chromista,Ochrophyta,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis,placentula,Cocconeis placentula,Species,Cocconeis placentula Ehrenb.,https://www.gbif.org/species/7644374,Bacillariophyta,Single cells,Unknown,Unknown,Unknown
Chromista,Ochrophyta,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis,placentula var. euglypta,Cocconeis placentula var. euglypta,Species,Cocconeis placentula var. euglypta (Ehrenb.) Grunow,https://www.gbif.org/species/7616817,Bacillariophyta,Single cells,Unknown,Unknown,Unknown
Chromista,Ochrophyta,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis,placentula var. lineata,Cocconeis placentula var. lineata,Species,Cocconeis placentula var. lineata (Ehrenb.) Van Heurck,https://www.gbif.org/species/7499754,Bacillariophyta,Single cells,Unknown,Unknown,Unknown
Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Coelastrum,  ,Coelastrum   ,Genus,Coelastrum Naegeli,https://www.gbif.org/species/2640961,Chlorophyta,Colonial,Unknown,Unknown,Unknown
Bacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,Coelosphaerium , ,Coelosphaerium   ,Genus,"Coelosphaerium Nägeli, 1849",https://www.gbif.org/species/3217114,Chlorophyta,Colonial,Unknown,Unknown,Unknown
Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Radiococcaceae,Coenochloris,,Coenochloris ,Genus,"Coenochloris Korshikov, 1953",https://www.gbif.org/species/2641720,Chlorophyta,Colonial,Unknown,Unknown,Unknown
Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Radiococcaceae,Coenococcus,,Coenococcus ,Genus,"Coenococcus Korshikov, 1953",https://www.gbif.org/species/2641812,Chlorophyta,Single cells/filamentous,Unknown,Unknown,Unknown
Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Radiococcaceae,Coenocystis ,,Coenocystis  ,Genus,"Coenocystis Korshikov, 1953",https://www.gbif.org/species/2640606,Chlorophyta,Single cells,Unknown,Unknown,Unknown
Plantae,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium ,,Cosmarium,Genus,"Cosmarium Corda ex Ralfs, 1848",https://www.gbif.org/species/2648709,Chlorophyta,Single cells,Unknown,Unknown,Unknown
Plantae,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium,tinctum,Cosmarium tinctum,Species,Cosmarium tinctum Ralfs,https://www.gbif.org/species/5273813,Chlorophyta,Single cells,Unknown,Unknown,Unknown
Chromista,Ochrophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula,,Craticula,Genus,"Craticula A.Grunow, 1867",https://www.gbif.org/species/7382641,Bacillariophyta,Single cells,Unknown,Unknown,Unknown
Chromista,Ochrophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula,accomoda,Craticula accomoda,Species,Craticula accomoda (Hust.) D.G.Mann,https://www.gbif.org/species/7498666,Bacillariophyta,Unknown,Unknown,Unknown,Unknown
Chromista,Ochrophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula,ambigua,Craticula ambigua,Species,Craticula ambigua (Ehrenb.) D.G.Mann,https://www.gbif.org/species/7384656,Bacillariophyta,Unknown,Unknown,Unknown,Unknown
Chromista,Ochrophyta,Bacillariophyceae,Naviculales,Naviculaceae,Craticula,buderi,Craticula buderi,Species,"Craticula buderi (Hustedt) Lange-Bertalot, 2000",https://www.gbif.org/species/8173190,Bacillariophyta,Unknown,Unknown,Unknown,Unknown
Chromista,Ochrophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula,halophila,Craticula halophila,Species,Craticula halophila (Grunow) D.G.Mann,https://www.gbif.org/species/5267742,Bacillariophyta,Unknown,Unknown,Unknown,Unknown
Chromista,Ochrophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula,molestiformis,Craticula molestiformis,Species,Craticula molestiformis (Hustedt) Mayama,https://www.gbif.org/species/7807932,Bacillariophyta,Unknown,Unknown,Unknown,Unknown
Chromista,Ochrophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula,vixnegligenda,Craticula vixnegligenda,Species,"Craticula vixnegligenda Lange-Bertalot, 1993",https://www.gbif.org/species/7671293,Bacillariophyta,Unknown,Unknown,Unknown,Unknown
Plantae,Chlorophyta,Trebouxiophyceae,,,Crucigenia,,Crucigenia ,Genus,"Crucigenia Morren, 1830",https://www.gbif.org/species/2641012,Chlorophyta,Colonial,Unknown,Unknown,Unknown
Chromista,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,Cryptomonas ,,Cryptomonas  ,Genus,"Cryptomonas Ehrenberg, 1831",https://www.gbif.org/species/3202413,Cryptophyta,Single cells,Unknown,Unknown,Unknown
Chromista,Ochrophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Ctenophora,pulchella,Ctenophora pulchella,Species,"Ctenophora pulchella De Toni, 1892",https://www.gbif.org/species/10163903,Bacillariophyta,Unknown,Unknown,Unknown,Unknown
Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Stephanodiscaceae,Cyclostephanos,dubius,Cyclostephanos dubius,Species,Cyclostephanos dubius (Fricke) Round,https://www.gbif.org/species/3193364,Bacillariophyta,Single cells,Unknown,Unknown,Unknown
Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Stephanodiscaceae,Cyclotella,,Cyclotella,Genus,"Cyclotella (F.T.Kützing) A.de Brébisson, 1838",https://www.gbif.org/species/3193095,Bacillariophyta,Single cells,Unknown,Unknown,Unknown
Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Stephanodiscaceae,Cyclotella,meneghiniana,Cyclotella meneghiniana,Species,Cyclotella meneghiniana Kütz,https://www.gbif.org/species/3193150,Bacillariophyta,Single cells,Unknown,Unknown,Unknown
Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Stephanodiscaceae,Cyclotella,ocellata,Cyclotella ocellata,Species,Cyclotella ocellata Pant.,https://www.gbif.org/species/3193132,Bacillariophyta,Single cells,Unknown,Unknown,Unknown
Plantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Cylindrocapsaceae,Cylindrocapsa,,Cylindrocapsa ,Genus,"Cylindrocapsa Reinsch, 1867",https://www.gbif.org/species/9534410,Chlorophyta,Filamentous,Unknown,Unknown,Unknown
